trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1019,False,"{'a': 0.5, 'e': 1.0}",20,3,-67.79508580877769,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 0}",1
1020,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.57445968678559,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
1021,False,"{'a': 0.5, 'e': 1.0}",20,3,-50.00739890491619,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 1.0}",20,4,-31.57905409071655,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
1023,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.60768406450472,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.26955356727095,"{0: 7, 1: 0, 2: 13, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.236874910895825,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
1026,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.00908141245746,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1027,False,"{'a': 0.5, 'e': 1.0}",20,14,-10.311096073347517,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
1028,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.61307093692605,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
1029,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.014456770542889,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1030,False,"{'a': 0.5, 'e': 1.0}",20,1,-31.701530714960164,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.23045940970448,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
1032,False,"{'a': 0.5, 'e': 1.0}",20,2,-20.683089857416583,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 1.0}",20,10,-20.937250656492196,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 1.0}",20,2,-43.590230710844885,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 1.0}",20,6,2.058002753394269,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.18904534340439,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
1037,False,"{'a': 0.5, 'e': 1.0}",20,14,4.168368854480278,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1038,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.0955471118135,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
1039,False,"{'a': 0.5, 'e': 1.0}",20,10,-20.923474706352245,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 1.0}",20,12,-10.562816134184239,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
1041,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.55350410619175,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
1042,False,"{'a': 0.5, 'e': 1.0}",20,2,-64.5813365907605,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
